customer_id,customer_name,tier
CUST-0169,Customer_169,silver
CUST-0170,Customer_170,gold
CUST-0171,Customer_171,gold
CUST-0172,Customer_172,gold
CUST-0173,Customer_173,platinum
CUST-0174,Customer_174,bronze
CUST-0175,Customer_175,bronze
CUST-0176,Customer_176,silver
CUST-0177,Customer_177,bronze
CUST-0178,Customer_178,gold
CUST-0179,Customer_179,platinum
CUST-0180,Customer_180,bronze
CUST-0181,Customer_181,platinum
CUST-0182,Customer_182,gold
CUST-0183,Customer_183,silver
CUST-0184,Customer_184,bronze
CUST-0185,Customer_185,silver
CUST-0186,Customer_186,silver
CUST-0187,Customer_187,gold
CUST-0188,Customer_188,silver
CUST-0189,Customer_189,gold
CUST-0190,Customer_190,silver
CUST-0191,Customer_191,bronze
CUST-0192,Customer_192,bronze
CUST-0193,Customer_193,bronze
CUST-0194,Customer_194,silver
CUST-0195,Customer_195,platinum
CUST-0196,Customer_196,gold
CUST-0197,Customer_197,silver
CUST-0198,Customer_198,gold
CUST-0199,Customer_199,silver
CUST-0200,Customer_200,platinum
